,0
271,Maurya Enclave JD  Blk
272,Pitam Pura Power House
273,alpha
274,Power House
275,Ru Block Pitam Pura
276,Madhuvan Chowk
277,Saraswati Vihar C  Blk
278,Sect  78 Rohini
279,Paschim Vihar Power House
280,Rohini Sec  9
281,Rohini Pkt  D2 Sec  15
282,Rohini Sec  3   Avantika  
283,Rohini Sector  7
284,Rohini Sec  6
285,Vidya Vihar Marg Xing
286,Rithala Xing
287,Vishram Chowk
288,Rithala Village
289,Avantika
290,Avantika Xing
291,Bawana
292,Mangol Puri Y  Blk
293,Mangolpur Khurd
294,Budh Vihar
295,Pooth Kalan
296,Jalebi Chowk
297,Mangol Puri S  Blk
298,E  blk Sultan Puri
299,Sultan Puri
300,Turkman Gate
301,Tolstoy Marg Xing
302,Dhaula Kuan
303,Taj Hotel
304,Nanak Pura
305,Moti Bagh
306,R K Puram Sec  1
307,Minto Road Terminal
308,Golf Club
309,Corporation Office
310,Garision Engineer
311,South Campus
312,Partap Chowk
313,Airforce Hqrs
314,Nanak Pura Xing
315,Kirbi Place
316,Signal Officer Flats
317,Brar Square
318,Gopi Nath Bzr 
319,Palam Tanki
320,Lajwanti Garden
321,Pehladpur
322,Janak Setu
323,Desu Colony
324,Hnd  1
325,Janak Puri D  Blk
326,Dabri Village
327,Janakpuri C  1
328,JL Nehru Stadium
329,Janak Puri C  3
330,Dabri Xing
331,Dashrath Puri
332,Palam Village
333,Mangla Puri
334,Dwarka Gate
335,Dwarka Sec  II Mahaveer Enclave Part  III
336,Mahavir Enclave
337,Dwarka Sec  6 Telephone Exchange
338,Dwarka Sec  6  10 Xing
339,Amberahi Xing
340,Dwarka Sec  18A  17D
341,Sultanpur
342,A K  Stadium
343,Dwarka Xing
344,Koria Bridge
345,Palam Health Centre
346,Dwarka Sec  18B
347,National High Way   24 Xing
348,Vinod Nagar
349,Highway Xing
350,Chander Vihar
351,Balco Apptt
352,Manglam Hospital
353,Krishan Kunj
354,Dharma Apartment
355,Govt  School Pachim Puri
356,Road Bridge
357,Mayur Vihar Phase  I
358,Trilok Puri 13  Block
359,Cpwd Office
360,East Road Bridge
361,Railway Bridge Ring Road
362,Baba Bisember Das Ashram
363,Ashram
364,Maharani Bagh
365,Gurudwara Bangla Sahib
366,Road Bridge East
367,Bala Sahib Gurudwara
368,Sriniwaspuri Depot
369,Bhogal
370,Nizamuddin Police Station
371,Ishwar Nagar
372,Nehru Nagar
373,Holy Family Hospital
374,Snpd
375,Toll Bridge Corner
376,Punj Sons
377,Kalkaji Depot
378,Kalkaji DDA Flats
379,Nizamuddin Rly Station
380,Arya Samaj Road
381,Ram Puri
382,Kalkaji
383,Ambedkar Nagar Terminal
384,Tughalakabad Village
385,Batra Hospital
386,Tughlakabad Fort
387,Deoli Village
388,Saket J  Blk
389,Jheel
390,Saiyad ul Ajaib
391,Saket Crossing
392,Khanpur
393,Ambedkar Nagar Sec  4   Virat Cinema  
394,Hauzrani   GM Modi Hosp   
395,E  blk  Saket
396,Neb Sarai
397,Police Training School
398,Qutub Enclave
399,Lado Sarai
400,Qutub Minar
401,Mehrauli
402,Geetanjali
403,Adhchini
404,Ahinsa Sthal
405,JL Nehru University
406,Qutab Garh
407,RK Puram Sec  I
408,Ber Sarai
409,RK Puram Sec  8
410,Moti Bagh  I
411,Vasant Village
412,Swami Malai Mandir
413,Basant Village
414,Uttam Nagar
415,Janak Puri C  2B
416,Tilak Pul
417,Jeevan Park
418,Janakpuri District Center
419,Vikas Puri X  ing
420,Om Vihar
421,Mjr Bhupender Singh Ngr
422,Sunder Vihar
423,Kp Depot
424,Vikas Puri H  Blk
425,K P Depot
426,Krishana Puri
427,Prashant Vihar
428,Uttari Pitam Pura
429,Puspanjali
430,Haider Pur Water Works
431,Haider Pur
432,GTK By Pass
433,Badli Xing
434,Mukand Pur
435,GTK Depot
436,Libas Pur
437,Bhalswa X  ing
438,Samey Pur
439,Burari Xing
440,Bhalswa Dairy
441,Jagat Pur
442,Jharoda Xing
443,Jharoda Dairy Xing
444,Tomar Colony
445,Mukand Pur Xing
446,Jagat Pur Xing
447,Nanaksar
448,Bhajanpura
449,Khajoori
450,Wazirabad Bridge
451,Wazirabad
452,A   Block Sonia Vihar Pusta No  1
453,Yamuna Vihar C  4
454,C  1 Yamuna Vihar
455,Sherpur
456,Yamuna Vihar C  1
457,Yamuna Vihar Terminal
458,Mandoli Xing
459,Loni Road Xing
460,L R Xing
461,C  12 Yamuna Vihar
462,Nand Nagri C Centre
463,New Seema Puri Xing
464,Mukherji Nagar Bandh
465,Shahdara
466,Darya ganj
467,ITO BSZ Marg
468,Kamla Mkt
469,Mori Gate Terminal
470,Jahangirpuri G T Road
471,Jahangir Puri Xing
472,Jahangirpuri B Block
473,Badli GT Road
474,Gurudwara
475,Gurdwara Gt Road
476,Siras Pur Xing
477,Nangli Poonam
478,Budh Pur
479,Khera Kalan School
480,Budh Pur Xing
481,Alipur
482,Alipur Garhi
483,Palla X  ing
484,Gt Road Xing
485,Bakouli Xing
486,Minda Farm
487,Arvind Farm
488,Holambi Xing
489,Shahpur Garhi
490,Holambi Khurd
491,Holumbi Khurd
492,Bhor Garh
493,Petrol Pump
494,Narela DSIDC
495,Kureni Xing
496,Kureni
497,Narela Mandi
498,Narela Terminal
499,Narela Rly Xing
500,Bankner Village
501,Shafiabad Xing
502,Bakner Vill
503,Bakner Basti
504,Ferozshah Road
505,Bal Bhawan
506,Nirankari Cly
507,Sant Nagar
508,Dwarka Sec  8 DTC Depot
509,Burari Village
510,Baba Colony
511,Indirapuri
512,Andrews Ganj
